patent_id,assignee_sequence,assignee_id,disambig_assignee_individual_name_first,disambig_assignee_individual_name_last,disambig_assignee_organization,assignee_type,location_id
11132543,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
6844880,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10025879,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9489767,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8066515,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11810268,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7925931,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
6535209,0,c51e1eaf-64fb-4c8a-859d-3e2ed835e33d,,,NVIDIA U.S. Investment Company,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7015914,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7467289,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10866990,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12269488,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9064314,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9430863,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11847737,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10503456,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8095782,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12183037,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12154214,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12142580,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7619631,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7622947,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11610360,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11729063,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8775229,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7676596,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9342362,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8499323,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8428082,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11468582,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11747766,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11822398,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8780123,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10901017,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11968040,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8848458,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12299855,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11989948,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11061741,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9508111,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11867744,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7451259,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11899609,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8704836,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11592828,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9678529,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11694643,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7187220,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7369126,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9262797,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11023732,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12118353,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9454792,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8941676,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9507378,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10482196,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7812737,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11824791,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11605384,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9305324,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7945757,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9831999,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8284188,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9052897,0,664bb12c-9481-4325-9d26-b5cfa7987832,,,Nvidia Technology UK Limited,3,b38b1284-16c7-11ed-9b5f-1234bde3cd05
12073604,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12148088,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8017520,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11891036,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9155120,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11428536,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11997306,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8068118,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7836318,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9298868,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9178421,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12131775,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9412042,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7624107,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7272680,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8943457,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
6342888,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11985220,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7768863,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11470394,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12117298,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7681187,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12045952,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8904068,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7643301,0,024bdad2-8995-48e5-859e-a578e0a7ad6d,,,NVIDIA CORPORATION,2,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
