patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
5652793,0,G,G06,G06F,G06F21/10,inventional
5652793,1,G,G06,G06F,G06F21/123,inventional
5652793,2,G,G06,G06F,G06F2211/007,additional
5754866,0,G,G06,G06F,G06F9/4812,inventional
5754866,1,G,G06,G06F,G06F9/3802,inventional
5754866,2,G,G06,G06F,G06F9/3814,inventional
5659750,0,G,G06,G06F,G06F9/461,inventional
5758182,0,G,G06,G06F,G06F12/1081,inventional
5758182,1,G,G06,G06F,G06F13/28,inventional
5619658,0,G,G06,G06F,G06F9/3861,inventional
5619658,1,G,G06,G06F,G06F9/3879,inventional
5805175,0,G,G09,G09G,G09G5/395,inventional
5805175,1,G,G09,G09G,G09G5/06,inventional
5805930,0,G,G06,G06F,G06F5/06,inventional
5623692,0,G,G06,G06F,G06F12/1475,inventional
5764861,0,G,G06,G06F,G06F9/461,inventional
5768628,0,G,G10,G10H,G10H7/02,inventional
5768628,1,G,G06,G06F,G06F3/162,inventional
5768628,2,G,G10,G10H,G10H7/002,inventional
5768628,3,G,G10,G10H,G10H2230/031,additional
5768628,4,G,G10,G10H,G10H2240/275,additional
5721947,0,G,G06,G06F,G06F12/0292,inventional
5721947,1,G,G06,G06F,G06F2212/206,additional
5909595,0,G,G06,G06F,G06F13/126,inventional
5680592,0,G,G06,G06F,G06F13/105,inventional
5638535,0,G,G06,G06F,G06F5/06,inventional
5640591,0,G,G06,G06F,G06F12/0292,inventional
5640591,1,G,G06,G06F,G06F12/1475,inventional
5640591,2,G,G06,G06F,G06F2212/206,additional
5733194,0,G,G06,G06F,G06F3/038,inventional
5918050,0,G,G06,G06F,G06F13/387,inventional
5685011,0,G,G06,G06F,G06F11/0796,inventional
5685011,1,G,G06,G06F,G06F11/004,inventional
5685011,2,G,G06,G06F,G06F12/1081,inventional
5734369,0,G,G09,G09G,G09G5/02,inventional
5734369,1,G,G09,G09G,G09G3/2051,additional
5968148,0,G,G10,G10H,G10H7/02,inventional
5968148,1,G,G06,G06F,G06F3/162,inventional
5968148,2,G,G10,G10H,G10H7/002,inventional
5968148,3,G,G10,G10H,G10H2230/031,additional
5968148,4,G,G10,G10H,G10H2240/275,additional
5687357,0,G,G06,G06F,G06F13/28,inventional
5924126,0,G,G06,G06F,G06F12/1081,inventional
5740406,0,G,G06,G06F,G06F3/06,inventional
5740464,0,G,G06,G06F,G06F12/1475,inventional
6061066,0,G,G06,G06T,G06T3/00,inventional
5793379,0,G,G06,G06T,G06T3/4007,inventional
6065071,0,G,G06,G06F,G06F13/28,inventional
5696990,0,G,G06,G06F,G06F5/06,inventional
6023738,0,G,G09,G09G,G09G5/363,inventional
6023738,1,G,G06,G06F,G06F3/14,inventional
6023738,2,G,G06,G06F,G06F13/28,inventional
