patent_id,inventor_sequence,inventor_id,disambig_inventor_name_first,disambig_inventor_name_last,gender_code,location_id
11176967,0,fl:pr_ln:sundareson-1,Prabindh,Sundareson,U,371ed099-16c8-11ed-9b5f-1234bde3cd05
8775777,2,fl:mi_ln:toksvig-1,Michael J. M.,Toksvig,M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
12124832,2,fl:mi_ln:thompson-42,Michael,Thompson,M,c7aa955d-16c7-11ed-9b5f-1234bde3cd05
11788861,3,fl:mi_ln:grabner-1,Michael,Grabner,M,816d1200-16c8-11ed-9b5f-1234bde3cd05
10424069,2,fl:mi_ln:liu-245,Ming-Yu,Liu,F,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
6848057,0,fl:ga_ln:hicok-2,Gary D.,Hicok,M,c6b2ecda-16c7-11ed-9b5f-1234bde3cd05
9773460,3,fl:ro_ln:schutten-2,Robert Jan,Schutten,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11012338,0,fl:to_ln:tamasi-1,Tony,Tamasi,M,c41f88fa-16c7-11ed-9b5f-1234bde3cd05
8493395,1,fl:he_ln:moreton-1,Henry Packard,Moreton,M,c4f7422a-16c7-11ed-9b5f-1234bde3cd05
8254190,0,fl:ga_ln:gorla-1,Gabriele,Gorla,F,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8489377,2,fl:xi_ln:li-179,Xiaowei,Li,M,35a7da9f-16c8-11ed-9b5f-1234bde3cd05
9516224,0,fl:we_ln:zheng-91,Wenjie,Zheng,U,93778f03-16c8-11ed-9b5f-1234bde3cd05
7225279,1,fl:eu_ln:hogenauer-1,Eugene,Hogenauer,M,c324ce6e-16c7-11ed-9b5f-1234bde3cd05
11874662,1,fl:zo_ln:nikolic-1,Zoran,Nikolic,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10825230,3,fl:ro_ln:ohannessian-1,Robert,Ohannessian,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
