patent_id,patent_type,patent_date,patent_title,wipo_kind,num_claims,withdrawn,filename
10001996,utility,2018-06-19,Selective poisoning of data during runahead,B2,8,0,ipg180619.xml
10002031,utility,2018-06-19,Low overhead thread synchronization using hardware-accelerated bounded circular queues,B2,24,0,ipg180619.xml
10002586,utility,2018-06-19,Compression of display data stored locally on a GPU,B1,20,0,ipg180619.xml
10003362,utility,2018-06-19,Safe communication mode for a high speed link,B2,19,0,ipg180619.xml
10007527,utility,2018-06-26,Uniform load processing for parallel thread sub-sets,B2,20,0,ipg180626.xml
10008029,utility,2018-06-26,Updating depth related graphics data,B2,16,0,ipg180626.xml
10008033,utility,2018-06-26,Lighting simulation analysis using light path expressions,B2,20,0,ipg180626.xml
10008034,utility,2018-06-26,"System, method, and computer program product for computing indirect lighting in a cloud network",B2,7,0,ipg180626.xml
10008043,utility,2018-06-26,Near-eye parallax barrier displays,B2,26,0,ipg180626.xml
10009027,utility,2018-06-26,Three state latch,B2,22,0,ipg180626.xml
10009606,utility,2018-06-26,Low power context adaptive binary arithmetic decoder engine,B2,23,0,ipg180626.xml
10013290,utility,2018-07-03,System and method for synchronizing threads in a divergent region of code,B2,20,0,ipg180703.xml
10013940,utility,2018-07-03,Method and apparatus to reduce panel power through horizontal interlaced addressing,B2,17,0,ipg180703.xml
10019381,utility,2018-07-10,Cache control to reduce transaction roll back,B2,19,0,ipg180710.xml
10019776,utility,2018-07-10,Techniques for maintaining atomicity and ordering for pixel shader operations,B2,22,0,ipg180710.xml
10019787,utility,2018-07-10,Regional dimming for power savings,B2,25,0,ipg180710.xml
10020036,utility,2018-07-10,Address bit remapping scheme to reduce access granularity of DRAM accesses,B2,18,0,ipg180710.xml
10020871,utility,2018-07-10,Wireless communications system and method,B2,23,0,ipg180710.xml
10025643,utility,2018-07-17,System and method for compiler support for kernel launches in device code,B2,15,0,ipg180717.xml
10025879,utility,2018-07-17,Tree data structures based on a plurality of local coordinate systems,B2,20,0,ipg180717.xml
10026140,utility,2018-07-17,Using a scalable graphics system to enable a general-purpose multi-user computer system,B2,21,0,ipg180717.xml
10026223,utility,2018-07-17,Systems and methods for isosurface extraction using tessellation hardware,B2,10,0,ipg180717.xml
10026468,utility,2018-07-17,DRAM with segmented word line switching circuit for causing selection of portion of rows and circuitry for a variable page width control scheme,B2,20,0,ipg180717.xml
10027401,utility,2018-07-17,Wireless communications system and method,B2,24,0,ipg180717.xml
10027893,utility,2018-07-17,Real-time video stabilization for mobile devices based on on-board motion sensing,B2,14,0,ipg180717.xml
10031856,utility,2018-07-24,Common pointers in unified virtual memory system,B2,20,0,ipg180724.xml
10032242,utility,2018-07-24,Managing deferred contexts in a cache tiling architecture,B2,20,0,ipg180724.xml
10032243,utility,2018-07-24,Distributed tiled caching,B2,21,0,ipg180724.xml
10032245,utility,2018-07-24,Techniques for maintaining atomicity and ordering for pixel shader operations,B2,22,0,ipg180724.xml
10032246,utility,2018-07-24,Approach to caching decoded texture data with variable dimensions,B2,22,0,ipg180724.xml
10032289,utility,2018-07-24,Relative encoding for a block-based bounding volume hierarchy,B2,20,0,ipg180724.xml
10032692,utility,2018-07-24,Semiconductor package structure,B2,12,0,ipg180724.xml
10032696,utility,2018-07-24,Chip package using interposer substrate with through-silicon vias,B2,13,0,ipg180724.xml
10032710,utility,2018-07-24,Via pattern to reduce crosstalk between differential signal pairs,B2,22,0,ipg180724.xml
10034007,utility,2018-07-24,Non-subsampled encoding techniques,B2,20,0,ipg180724.xml
10037228,utility,2018-07-31,Efficient memory virtualization in multi-threaded processing units,B2,21,0,ipg180731.xml
10037620,utility,2018-07-31,Piecewise linear irregular rasterization,B2,19,0,ipg180731.xml
10038430,utility,2018-07-31,System for controlliing gatings of a multi-core processor,B2,21,0,ipg180731.xml
10042469,utility,2018-08-07,Methods and apparatus for reducing perceived pen-to-ink latency on touchpad devices,B2,18,0,ipg180807.xml
10043230,utility,2018-08-07,Approach to reducing voltage noise in a stalled data pipeline,B2,21,0,ipg180807.xml
10043234,utility,2018-08-07,System and method for frame buffer decompression and/or compression,B2,20,0,ipg180807.xml
10043457,utility,2018-08-07,Variable brightness LCD backlight,B2,21,0,ipg180807.xml
10049006,utility,2018-08-14,Controller-based memory scrub for DRAMs with internal error-correcting code (ECC) bits contemporaneously during auto refresh or by using masked write commands,B2,22,0,ipg180814.xml
10049646,utility,2018-08-14,Method and system for keyframe detection when executing an application in a cloud based system providing virtualized graphics processing to remote servers,B2,22,0,ipg180814.xml
10055806,utility,2018-08-21,Techniques for maintaining atomicity and ordering for pixel shader operations,B2,22,0,ipg180821.xml
10055875,utility,2018-08-21,Real-time eulerian water simulation using a restricted tall cell grid,B2,21,0,ipg180821.xml
10055883,utility,2018-08-21,Frustum tests for sub-pixel shadows,B2,20,0,ipg180821.xml
10057849,utility,2018-08-21,System and method for reducing power consumed obtaining system information from a cell,B2,20,0,ipg180821.xml
10061526,utility,2018-08-28,Frame buffer access tracking via a sliding window in a unified virtual memory system,B2,23,0,ipg180828.xml
10062142,utility,2018-08-28,Stutter buffer transfer techniques for display systems,B2,19,0,ipg180828.xml
10067768,utility,2018-09-04,Execution of divergent threads using a convergence barrier,B2,20,0,ipg180904.xml
10068366,utility,2018-09-04,Stereo multi-projection implemented using a graphics processing pipeline,B2,20,0,ipg180904.xml
10068549,utility,2018-09-04,Cursor handling in a variable refresh rate environment,B2,20,0,ipg180904.xml
10074212,utility,2018-09-11,Decorrelation of low discrepancy sequences for progressive rendering,B2,21,0,ipg180911.xml
10074411,utility,2018-09-11,Mode-changeable dual data rate random access memory driver with asymmetric offset and memory interface incorporating the same,B2,20,0,ipg180911.xml
10078911,utility,2018-09-18,"System, method, and computer program product for executing processes involving at least one primitive in a graphics processor, utilizing a data structure",B2,18,0,ipg180918.xml
10079746,utility,2018-09-18,"System and method for testing data channel bandwidth, packet loss, latency and jitter",B2,20,0,ipg180918.xml
10080161,utility,2018-09-18,Processing data units,B2,16,0,ipg180918.xml
10083036,utility,2018-09-25,Techniques for managing graphics processing resources in a tile-based architecture,B2,22,0,ipg180925.xml
10083514,utility,2018-09-25,Stencil-then-cover path rendering with shared edges,B2,20,0,ipg180925.xml
10083932,utility,2018-09-25,Package on package arrangement and method,B2,5,0,ipg180925.xml
10089707,utility,2018-10-02,Ultra high resolution pan-scan on displays connected across multiple systems/GPUs,B2,20,0,ipg181002.xml
10091251,utility,2018-10-02,Establishing communications,B2,20,0,ipg181002.xml
10095526,utility,2018-10-09,Technique for improving performance in multi-threaded processing units,B2,20,0,ipg181009.xml
10095542,utility,2018-10-09,Cooperative thread array granularity context switch during trap handling,B2,23,0,ipg181009.xml
10095548,utility,2018-10-09,Mechanism for waking common resource requests within a resource management subsystem,B2,21,0,ipg181009.xml
10096078,utility,2018-10-09,Multi GPU interconnect techniques,B2,14,0,ipg181009.xml
10096086,utility,2018-10-09,Enhanced anti-aliasing by varying sample patterns spatially and/or temporally,B2,20,0,ipg181009.xml
10096134,utility,2018-10-09,Data compaction and memory bandwidth reduction for sparse neural networks,B2,21,0,ipg181009.xml
10096534,utility,2018-10-09,Thermal performance of logic chip in a package-on-package structure,B2,20,0,ipg181009.xml
10097203,utility,2018-10-09,Lane-striped computation of packet CRC to maintain burst error properties,B2,20,0,ipg181009.xml
10102142,utility,2018-10-16,Virtual address based memory reordering,B2,20,0,ipg181016.xml
10102668,utility,2018-10-16,"System, method, and computer program product for rendering at variable sampling rates using projective geometric distortion",B2,20,0,ipg181016.xml
10103719,utility,2018-10-16,"Integrated voltage regulator with in-built process, temperature and aging compensation",B2,14,0,ipg181016.xml
10104618,utility,2018-10-16,Saving power in a mobile terminal,B2,20,0,ipg181016.xml
10108424,utility,2018-10-23,Profiling code portions to generate translations,B2,21,0,ipg181023.xml
10112115,utility,2018-10-30,Gamecasting techniques,B2,17,0,ipg181030.xml
10114755,utility,2018-10-30,"System, method, and computer program product for warming a cache for a task launch",B2,20,0,ipg181030.xml
10114758,utility,2018-10-30,Techniques for supporting for demand paging,B2,26,0,ipg181030.xml
10114760,utility,2018-10-30,Method and system for implementing multi-stage translation of virtual addresses,B2,20,0,ipg181030.xml
10115229,utility,2018-10-30,Reinforcement learning for light transport,B2,20,0,ipg181030.xml
10116314,utility,2018-10-30,Multi-mode frequency divider,B1,20,0,ipg181030.xml
10116916,utility,2018-10-30,Method for data reuse and applications to spatio-temporal supersampling and de-noising,B2,18,0,ipg181030.xml
10116943,utility,2018-10-30,Adaptive video compression for latency control,B2,21,0,ipg181030.xml
10118095,utility,2018-11-06,Implementing a remote gaming server on a desktop computer,B2,21,0,ipg181106.xml
10120028,utility,2018-11-06,Efficient scan latch systems and methods,B2,18,0,ipg181106.xml
10120187,utility,2018-11-06,Sub-frame scanout for latency reduction in virtual reality applications,B2,20,0,ipg181106.xml
10121220,utility,2018-11-06,System and method for creating aliased mappings to minimize impact of cache invalidation,B2,20,0,ipg181106.xml
10121276,utility,2018-11-06,Infinite resolution textures,B2,16,0,ipg181106.xml
10123408,utility,2018-11-06,"Circuit board, current-measuring device, and method of measuring a current of a circuit board",B2,14,0,ipg181106.xml
10128904,utility,2018-11-13,Low-latency bi-directional repeater,B2,20,0,ipg181113.xml
10133677,utility,2018-11-20,Opportunistic migration of memory pages in a unified virtual memory system,B2,27,0,ipg181120.xml
10134169,utility,2018-11-20,"Image loads, stores and atomic operations",B2,23,0,ipg181120.xml
10139926,utility,2018-11-27,Magnetic retention of peripheral device for a tablet computer,B2,20,0,ipg181127.xml
10141930,utility,2018-11-27,Three state latch,B2,20,0,ipg181127.xml
10146545,utility,2018-12-04,Translation address cache for a microprocessor,B2,14,0,ipg181204.xml
10147203,utility,2018-12-04,Enhanced anti-aliasing by varying sample patterns spatially and/or temporally,B2,25,0,ipg181204.xml
10147222,utility,2018-12-04,Multi-pass rendering in a screen space pipeline,B2,20,0,ipg181204.xml
10147370,utility,2018-12-04,Variable refresh rate gamma correction,B2,20,0,ipg181204.xml
